customer_id,name,gender,start_date,end_date,membership_period,is_deleted,class_name,campaign_name,price,mean,median,max,min,routing_flg
OA832399,XXXX,F,2015-05-01,,47,0,オールタイム,通常,10500,4.833333333333333,5.0,8,2,1
PL270116,XXXXX,M,2015-05-01,,47,0,オールタイム,通常,10500,5.083333333333333,5.0,7,3,1
OA974876,XXXXX,M,2015-05-01,,47,0,オールタイム,通常,10500,4.583333333333333,5.0,6,3,1
HD024127,XXXXX,F,2015-05-01,,47,0,オールタイム,通常,10500,4.833333333333333,4.5,7,2,1
HD661448,XXXXX,F,2015-05-01,,47,0,ナイト,通常,6000,3.9166666666666665,4.0,6,1,1
IK271057,XXXXX,M,2015-05-01,,47,0,オールタイム,通常,10500,3.75,3.5,5,2,1
HI324666,XXXXX,M,2015-05-01,,47,0,オールタイム,通常,10500,3.9166666666666665,3.5,7,2,1
AS647421,XXXXX,F,2015-05-01,,47,0,オールタイム,通常,10500,4.5,4.0,9,2,1
AS069821,XXXXXX,F,2015-05-01,,47,0,ナイト,通常,6000,4.083333333333333,3.5,7,2,1
GD039425,XXXXX,F,2015-05-01,,47,0,オールタイム,通常,10500,4.666666666666667,4.5,7,3,1
OA789036,XXXXX,F,2015-05-01,,47,0,デイタイム,通常,7500,4.75,5.0,7,1,1
AS058623,XXXXX,F,2015-05-01,,47,0,オールタイム,通常,10500,4.5,5.0,6,3,1
AS857207,XXXXX,F,2015-05-01,,47,0,デイタイム,通常,7500,4.5,5.0,8,2,1
AS625883,XXXX,F,2015-05-01,,47,0,デイタイム,通常,7500,4.75,5.0,6,2,1
HD782984,XXXXX,F,2015-05-01,,47,0,デイタイム,通常,7500,4.833333333333333,5.0,7,2,1
HI804186,XXXX,F,2015-05-01,,47,0,デイタイム,通常,7500,4.833333333333333,5.0,7,2,1
AS732240,XXXXX,F,2015-05-01,,47,0,デイタイム,通常,7500,4.666666666666667,5.0,7,2,1
PL834411,XXXXX,F,2015-05-01,,47,0,ナイト,通常,6000,4.916666666666667,4.5,8,1,1
HD516059,XXX,M,2015-05-01,,47,0,ナイト,通常,6000,4.166666666666667,4.0,7,1,1
HD194702,XXXX,F,2015-05-01,,47,0,デイタイム,通常,7500,4.916666666666667,5.0,8,1,1
IK102369,XXXX,M,2015-05-01,,47,0,オールタイム,通常,10500,4.75,5.0,6,3,1
AS183155,XXXXX,F,2015-05-01,,47,0,ナイト,通常,6000,4.5,4.5,7,2,1
HI339146,XXXXX,F,2015-05-01,,47,0,オールタイム,通常,10500,4.5,4.5,7,2,1
AS476267,XXXXX,F,2015-05-01,,47,0,デイタイム,通常,7500,4.916666666666667,5.0,7,3,1
PL928545,XXXXXX,F,2015-05-01,,47,0,デイタイム,通常,7500,4.333333333333333,4.0,7,2,1
OA372777,XXXXX,M,2015-05-01,,47,0,ナイト,通常,6000,3.6666666666666665,4.0,6,1,1
PL765022,XXX,M,2015-05-01,,47,0,オールタイム,通常,10500,4.583333333333333,4.5,7,3,1
OA803393,XXXX,M,2015-05-01,,47,0,オールタイム,通常,10500,4.75,4.5,8,2,1
OA071756,XXX,M,2015-05-01,,47,0,オールタイム,通常,10500,4.166666666666667,4.0,6,2,1
